[ 2016-06-16T09:24:37+08:00 ] /T050/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-16T09:24:37+08:00 ] /T050/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.031926s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000694s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.022992s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000401s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.007632s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck2` [ RunTime:0.020103s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SELECT * FROM `nnld_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000753s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SELECT * FROM `nnld_fck2` WHERE uid=1 LIMIT 1   [ RunTime:0.000248s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000313s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | SQL: UPDATE `nnld_fck` SET `day_feng`=0,_times=1466006400 WHERE _times !=1466006400 [ RunTime:0.042465s ]
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2016-06-16T09:24:38+08:00 ] /T050/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
