[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000831s ]
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000943s ]
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ route_check ] --START--
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.000484s ]
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000545s ]
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000339s ]
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000379s ]
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 225 行.
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 225 行.
[ 2016-06-14T15:56:58+08:00 ] /T050/index.php/Public/verify/ | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | INFO: Tag[ app_begin ] --START--
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000305s ]
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000356s ]
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | NOTIC: [8] Undefined variable: get CommonAction.class.php 第 224 行.
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 224 行.
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-14T15:58:02+08:00 ] /T050/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.016102s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000423s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.012968s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000523s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.008827s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck2` [ RunTime:0.006419s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT * FROM `nnld_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.001176s ]
[ 2016-06-14T15:58:03+08:00 ] /T050/index.php | SQL: SELECT * FROM `nnld_fck2` WHERE uid=1 LIMIT 1   [ RunTime:0.000263s ]
