[ 2016-06-15T09:34:33+08:00 ] /t050/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-15T09:34:33+08:00 ] /t050/index.php | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.029961s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000683s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.020660s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000535s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.008337s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SHOW COLUMNS FROM `nnld_fck2` [ RunTime:0.009835s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT * FROM `nnld_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000746s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT * FROM `nnld_fck2` WHERE uid=1 LIMIT 1   [ RunTime:0.000222s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000289s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: UPDATE `nnld_fck` SET `day_feng`=0,_times=1465920000 WHERE _times !=1465920000 [ RunTime:0.029835s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT * FROM `nnld_fee` LIMIT 1   [ RunTime:0.000363s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT `prem` FROM `nnld_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000190s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SHOW COLUMNS FROM `nnld_msg` [ RunTime:0.010027s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_msg` WHERE ( `s_uid` = '1' ) AND ( `s_read` = 0 ) AND ( `s_del` = 0 ) LIMIT 1   [ RunTime:0.000465s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | INFO: Tag[ view_template ] --START--
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000624s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000664s ]
[ 2016-06-15T09:34:34+08:00 ] /t050/index.php | INFO: Tag[ view_parse ] --START--
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.085050s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.085190s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000428s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000603s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000387s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000283s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001814s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Tag[ view_end ] --START--
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000485s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000522s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | INFO: Tag[ route_check ] --START--
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | INFO: Run CheckRoute Behavior [ RunTime:0.000511s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | INFO: Tag[ route_check ] --END-- [ RunTime:0.000568s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | INFO: Tag[ app_begin ] --START--
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000314s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000350s ]
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 217 行.
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 217 行.
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 225 行.
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 225 行.
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-15T09:34:35+08:00 ] /t050/index.php/Public/main | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.030233s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000649s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.020342s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000541s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_bonus` [ RunTime:0.092805s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_bonus` WHERE ( `uid` = '1' ) ORDER BY id desc LIMIT 10   [ RunTime:0.013809s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_form` [ RunTime:0.016226s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_form` WHERE ( `status` = 1 ) ORDER BY baile desc,id desc LIMIT 12   [ RunTime:0.000530s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_fck` WHERE ( `re_id` = '1' ) AND ( `is_pay` = 1 ) LIMIT 1   [ RunTime:0.004006s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_msg` [ RunTime:0.008636s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_msg` WHERE ( `s_uid` = '1' ) AND ( `s_read` = 0 ) LIMIT 1   [ RunTime:0.000320s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_fck` WHERE id=1 LIMIT 1   [ RunTime:0.001621s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_fck2` [ RunTime:0.008578s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_fck2` WHERE uid=1  [ RunTime:0.000386s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000557s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT `s4`,`s10`,`str28` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000285s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT `str7`,`str21`,`str22`,`str23`,`b_money` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000325s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_plan` [ RunTime:0.013049s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_plan` WHERE ( `id` = 2 ) LIMIT 1   [ RunTime:0.000276s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_plan` WHERE ( `id` = 3 ) LIMIT 1   [ RunTime:0.000228s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_product` [ RunTime:0.010276s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_product` WHERE yc_cp=0 ORDER BY id desc LIMIT 3   [ RunTime:0.000291s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_tupian` [ RunTime:0.002558s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT `image` FROM `nnld_tupian` WHERE ( `ptype` = 0 ) ORDER BY create_time asc  [ RunTime:0.000284s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SHOW COLUMNS FROM `nnld_img` [ RunTime:0.010031s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_img` ORDER BY id desc LIMIT 1   [ RunTime:0.000302s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | SQL: SELECT * FROM `nnld_product`  [ RunTime:0.000240s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_template ] --START--
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | INFO: Run LocationTemplate Behavior [ RunTime:0.000495s ]
[ 2016-06-15T09:34:36+08:00 ] /t050/index.php/Public/main | INFO: Tag[ view_template ] --END-- [ RunTime:0.000539s ]
